starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 18 18:51:06 2014	1416316866	217	323	540	323
Tue Nov 18 18:51:06 2014	1416316866	217	324	541	324
Tue Nov 18 18:51:06 2014	1416316866	217	324	541	324
Tue Nov 18 18:51:07 2014	1416316867	141	404	545	404
Tue Nov 18 18:51:06 2014	1416316866	399	147	545	146
Tue Nov 18 18:51:06 2014	1416316866	399	146	545	146
Tue Nov 18 18:51:06 2014	1416316866	399	146	545	146
Tue Nov 18 18:51:06 2014	1416316866	399	146	545	146
Tue Nov 18 18:51:06 2014	1416316866	217	328	545	324
Tue Nov 18 18:51:07 2014	1416316867	128	417	546	417
Tue Nov 18 18:51:07 2014	1416316867	128	417	546	417
Tue Nov 18 18:51:06 2014	1416316866	354	192	546	192
Tue Nov 18 18:51:06 2014	1416316866	354	192	546	192
Tue Nov 18 18:51:06 2014	1416316866	355	192	547	192
Tue Nov 18 18:51:06 2014	1416316866	355	192	547	192
Tue Nov 18 18:51:06 2014	1416316866	278	269	547	269
Tue Nov 18 18:51:06 2014	1416316866	287	260	547	260
Tue Nov 18 18:51:06 2014	1416316866	287	260	547	260
Tue Nov 18 18:51:07 2014	1416316867	128	420	548	420
Tue Nov 18 18:51:06 2014	1416316866	279	269	548	269
Tue Nov 18 18:51:06 2014	1416316866	279	269	548	269
Tue Nov 18 18:51:06 2014	1416316866	350	198	548	198
Tue Nov 18 18:51:06 2014	1416316866	350	199	548	198
Tue Nov 18 18:51:06 2014	1416316866	217	332	549	332
Tue Nov 18 18:51:06 2014	1416316866	217	332	549	332
Tue Nov 18 18:51:06 2014	1416316866	217	332	549	332
Tue Nov 18 18:51:07 2014	1416316867	140	410	550	410
Tue Nov 18 18:51:06 2014	1416316866	351	200	551	200
Tue Nov 18 18:51:06 2014	1416316866	404	147	551	147
Tue Nov 18 18:51:06 2014	1416316866	351	200	551	200
Tue Nov 18 18:51:06 2014	1416316866	351	200	551	200
Tue Nov 18 18:51:06 2014	1416316866	354	198	552	198
Tue Nov 18 18:51:06 2014	1416316866	354	199	553	199
Tue Nov 18 18:51:06 2014	1416316866	354	200	553	199
Tue Nov 18 18:51:06 2014	1416316866	354	199	553	199
Tue Nov 18 18:51:06 2014	1416316866	354	200	553	200
Tue Nov 18 18:51:06 2014	1416316866	217	340	557	340
Tue Nov 18 18:51:06 2014	1416316866	288	269	557	269
